assetName,lat,long,businessCategory,riskRating,riskFactors,year
"Mcknight, Beasley and Stewart",46.1351,-60.1831,Energy,0.06,"{""Earthquake"": 0.06}",2050
Acevedo-Kennedy,50.26729,-119.27337,Technology,0.14,"{""Extreme heat"": 0.01, ""Wildfire"": 0.04, ""Tornado"": 0.03, ""Flooding"": 0.02, ""Volcano"": 0.01, ""Hurricane"": 0.02, ""Earthquake"": 0.01}",2050
Ware PLC,45.44868,-73.81669,Retail,0.36,"{""Hurricane"": 0.02, ""Extreme heat"": 0.03, ""Tornado"": 0.06, ""Wildfire"": 0.02, ""Flooding"": 0.05, ""Drought"": 0.02, ""Volcano"": 0.06, ""Extreme cold"": 0.05, ""Earthquake"": 0.04, ""Sea level rise"": 0.01}",2030
Jones Ltd,42.8334,-80.38297,Manufacturing,0.69,"{""Drought"": 0.69}",2060
Willis-Newman,53.51684,-113.3187,Energy,0.46,"{""Extreme heat"": 0.03, ""Drought"": 0.0, ""Sea level rise"": 0.05, ""Earthquake"": 0.06, ""Flooding"": 0.07, ""Wildfire"": 0.09, ""Hurricane"": 0.07, ""Extreme cold"": 0.09}",2050
"Bender, Warren and Sanchez",45.44868,-73.81669,Healthcare,0.67,"{""Earthquake"": 0.06999999999999999, ""Sea level rise"": 0.06, ""Tornado"": 0.05, ""Drought"": 0.1, ""Wildfire"": 0.15, ""Extreme cold"": 0.04, ""Extreme heat"": 0.06, ""Volcano"": 0.11, ""Hurricane"": 0.03}",2070
Johnson and Sons,42.8334,-80.38297,Manufacturing,0.48,"{""Sea level rise"": 0.07, ""Wildfire"": 0.1, ""Hurricane"": 0.31}",2030
"Mejia, Roberts and Gay",46.1351,-60.1831,Energy,0.02,"{""Volcano"": 0.0, ""Hurricane"": 0.0, ""Drought"": 0.0, ""Tornado"": 0.01, ""Extreme heat"": 0.01}",2050
Flynn-Anderson,45.40008,-73.58248,Finance,0.6,"{""Extreme heat"": 0.56, ""Hurricane"": 0.04}",2030
Thomas-Chavez,42.8334,-80.38297,Finance,0.85,"{""Earthquake"": 0.04, ""Tornado"": 0.13, ""Drought"": 0.11, ""Flooding"": 0.08, ""Extreme cold"": 0.08, ""Sea level rise"": 0.04, ""Wildfire"": 0.08, ""Extreme heat"": 0.14, ""Volcano"": 0.15}",2050
Reid PLC,45.44868,-73.81669,Energy,0.61,"{""Volcano"": 0.23, ""Drought"": 0.09, ""Hurricane"": 0.06, ""Extreme heat"": 0.06, ""Wildfire"": 0.14, ""Tornado"": 0.03}",2060
"Hall, Meadows and Anderson",46.1351,-60.1831,Technology,0.18,"{""Tornado"": 0.15, ""Flooding"": 0.03}",2070
